site_name,site_index,point_id,easting,northing,longitude,latitude
increased_greenness,1,1,-1898123.9445408036,2897955.0,-121.05834301130065,46.8062708173788
increased_greenness,1,2,-1897893.64762979,2897955.0,-121.05544167227511,46.8068128700478
unburned_to_low,2,1,-1892175.0,2896551.6104683024,-120.97862236992032,46.808014415539624
unburned_to_low,2,2,-1892515.6014522242,2897055.0,-120.98462145747311,46.81160513918329
unburned_to_low,2,3,-1892175.0,2896661.9893041286,-120.97899661736145,46.80897703413227
low_severity,3,1,-1901175.0,2917595.883801763,-121.16384247639394,46.97034094680942
moderate_severity,4,1,-1904775.0,2897926.0887448024,-121.14201543820992,46.79033808354734
high_severity,5,1,-1899658.2731189888,2906955.0,-121.10833867856584,46.88113027212171
