site_name,site_index,point_id,endpoint_type,easting,northing,longitude,latitude
low_severity,3,32,end,-1901490.192213275,2917470.557672457,-121.16739288527967,46.96850259140782
moderate_severity,4,1,start,-1904865.4943504725,2897887.8171256366,-121.14302438945192,46.78979079127352
moderate_severity,4,2,end,-1904797.869597318,2897923.600664475,-121.14229492675848,46.79026239150003
moderate_severity,4,3,start,-1904913.417586946,2897862.4591161553,-121.14354132887384,46.78945658754923
moderate_severity,4,4,start,-1905005.2762363597,2897919.8414998157,-121.14489376366502,46.789739824301776
moderate_severity,4,5,end,-1904915.2231315009,2897901.4774374226,-121.14369717294511,46.789792425243256
high_severity,5,1,end,-1899627.2049447147,2906930.417732832,-121.10786302537998,46.88098920665961
high_severity,5,2,end,-1899593.067271641,2906894.7831799323,-121.10731096239822,46.88075900566973
high_severity,5,3,end,-1899563.9674636049,2906859.2654696256,-121.10682283256797,46.880517937994846
high_severity,5,4,end,-1899541.2412210705,2906842.4371567075,-121.10647883452924,46.88042480422837
high_severity,5,5,end,-1899507.2508597525,2906806.21612092,-121.10592663824323,46.88018913655836
